sentiment_label,tweet_text
4,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9
4,zomg!!! I have a G2!!!!!!!
4,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
4,just got a free G2 android at google i/o!!!
4,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
2,At GWT fireside chat @googleio
4,I am happy for Philip being at GoogleIO today
4,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
2,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
4,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
2,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz"
0,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
4,watching Night at The Museum . Lmao
4,i loved night at the museum!!!
2,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
4,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
2,Just saw the new Night at the Museum movie...it was...okay...lol 7\10
2,Going to see night at the museum 2 with tall boy
4,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
4,no watching The Night At The Museum. Getting Really Good
4,"Night at the Museum, Wolverine and junk food - perfect monday!"
4,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
2,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
2,Taking Katie to see Night at the Museum.  (she picked it)
0,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
2,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
0,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
0,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
0,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
0,Time Warner cable is down again 3rd time since Memorial Day bummer!
0,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
0,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
0,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
0,time warner has the worse customer service ever. I will never use them again
0,Time warner is the devil. Worst possible time for the Internet to go out.
0,Fuck no internet damn time warner!
0,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
0,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
0,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)
0,Time Warner's HD line up is crap.
0,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
2,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
0,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
2,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3"
2,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n"
2,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
2,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"
2,http://xi.gs/04FO GM CEO: China will continue to be key partner
2,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
0,Recovering from surgery..wishing @julesrenner was here :(
4,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
2,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
0,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
0,@kirstiealley my dentist is great but she's expensive...=(
2,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
4,is studing math ;) tomorrow exam and dentist :)
0,my dentist was wrong... WRONG
0,Going to the dentist later.:|
0,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
2,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
2,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
2,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
2,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796
2,waiting in line at safeway.
0,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
2,Did not realize there is a gym above Safeway!
2,"@XPhile1908 I have three words for you: ""Safeway dot com"""
4,Safeway is very rock n roll tonight
2,Bout to hit safeway I gotta eat
2,Jake's going to safeway!
2,Found a safeway. Picking up a few staples.
2,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w
0,The safeway bathroom still smells like ass!
0,"At safeway on elkhorn, they move like they're dead!"
2,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
2,Is Eating and Watching Movies....
2,eating sashimi
2,is eating  home made yema
2,eating cake
4,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
0,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
2,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc
4,is lovin his Nike  already and that's only from running on the spot in his bedroom
2,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp
4,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
2,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
2,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb
2,@anna_debenham what was the php jquery hack?
2,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/
2,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5
4,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
4,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
2,Warren Buffet on the economy http://ping.fm/Lau0p
4,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
4,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
2,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA
4,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
2,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ..."
0,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
0,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
0,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
0,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.
0,"wth..i have never seen a line this loooong at time warner before, ugh."
0,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
2,Man accosts Roger Federer during French Open http://ff.im/3HCPT
0,Naive Bayes using EM for Text Classification. Really Frustrating...
4,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
2,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme
2,"I'm going to bed. It was a successful weekend. Stanford, here I come."
0,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"
0,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
0,#at&amp;t is complete fail.
0,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
0,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal
0,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
0,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299
0,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.
0,@ims What is AT&amp;T fucking up?
0,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!
0,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
2,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc
0,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
0,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye"
2,@mattcutts have google profiles stopped showing up in searches? cant see them anymore
4,@ArunBasilLal I love Google Translator too ! :D Good day mate !
4,reading on my new Kindle2!
4,My Kindle2 came and I LOVE it! :)
4,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
0,The real AIG scandal / http://bit.ly/b82Px
2,Any twitter to aprs apps yet?
2,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ
4,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.
4,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.."
4,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!"
4,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM
4,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7"
4,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu
4,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)
0,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750
4,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
4,"@khalid0456 No, Lebron is the best"
4,@the_real_usher LeBron is cool.  I like his personality...he has good character.
4,Watching Lebron highlights. Damn that niggas good
4,@Lou911 Lebron is MURDERING shit.
4,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
4,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.
4,KOBE IS GOOD BT LEBRON HAS MY VOTE
0,Kobe is the best in the world not lebron .
4,"@asherroth World Cup 2010 Access?? Damn, that's a good look!"
4,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
2,Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG
0,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
4,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
4,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday."
4,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
2,ok.. do nothing.. just thinking about 40D
4,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!"
4,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H
4,http://is.gd/ArUJ Good video from Google on using search options.
0,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
0,itchy back!! dont ya hate it!
4,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
4,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
4,Lyx is cool.
4,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
4,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV"
4,@dannygokey I love you DANNY GOKEY!! :)
2,RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1
0,so tired. i didn't sleep well at all last night.
0,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
0,bonjour San Francisco. My back hurts from last night..
2,"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t"
2,Heading to San Francisco
4,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
0,"F*** up big, or go home - AIG"
4,Went to see the Star Trek movie last night.  Very satisfying.
4,"I can't wait, going to see star trek tonight!!"
4,Star Trek was as good as everyone said!!
4,am loving new malcolm gladwell book - outliers
4,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
0,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
0,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit"
4,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
4,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
0,i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do
0,Comcast sucks.
0,The day I never have to deal with Comcast again will rank as one of the best days of my life.
0,@Dommm did comcast fail again??
2,How do you use the twitter API?... http://bit.ly/4VBhH
0,curses the Twitter API limit
0,"Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!"
2,testing Twitter API
0,Arg. Twitter API is making me crazy.
2,Testing Twitter API. Remote Update
4,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
0,"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!"
4,Off to the NIKE factory!!!
4,New nike muppet commercials are pretty cute. Why do we live together again?
2,New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS
2,New blog post: Nike Trainer 1 http://bit.ly/394bp
0,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
4,@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...
0,"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me"
4,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
4,@jonduenas @robynlyn just got us a 50D for the office. :D
4,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
4,Just got my new toy. Canon 50D. Love love love it!
4,Learning about lambda calculus :)
2,"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m"
4,I'm moving to East Palo Alto!
4,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
4,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
2,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd
2,Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship
4,LAKERS tonight let's go!!!!
4,Will the Lakers kick the Nuggets ass tonight?
0,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
0,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
0,Listening to Obama... Friggin North Korea...
0,"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012"
0,@foxnews Pelosi should stay in China and never come back.
0,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
0,ugh. the amount of times these stupid insects have bitten me. Grr..
4,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
0,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
4,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
4,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
4,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
4,Could go for a lot of McDonalds. i mean A LOT.
4,my exam went good. @HelloLeonie: your prayers worked (:
4,"Only one exam left, and i am so happy for it :D"
0,Math review. Im going to fail the exam.
0,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
0,obviously not siding with Cheney here: http://bit.ly/19j2d
4,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
4,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV
2,Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629
4,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
4,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
2,Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF
4,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it."
4,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service
4,@vkerkez dood I got a free google android phone at the I/O conference. The G2!
4,"@Orli the G2 is amazing btw, a HUGE improvement over the G1"
4,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio"
4,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
4,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
4,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/"
2,"Watching a programme about the life of Hitler, its only enhancing my geekiness of history."
0,saw night at the museum out of sheer desperation. who is funding these movies?
4,Night At The Museum 2? Pretty furkin good.
4,Watching Night at the Museum - giggling.
2,"@pambeeslyjenna Jenna, I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office..."
2,About to watch Night at the Museum with Ryan and Stacy
2,"Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!"
0,"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh."
4,just watched night at the museum 2! so stinkin cute!
4,"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up."
2,"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2""."
2,"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old."
4,saw the new Night at the Museum and i loved it. Next is to go see UP in 3D
0,It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?
0,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al"
2,Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r
0,@Pittstock $GM good riddance.  sad though.
0,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8"
0,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala
